"Series_Reference","Period","Data_Value","Status Code","Type","Group","Description"
"CPIQ.SE901306PCCA","2023.09",0.7,"FINAL","Percentage contribution annual","Class","Other grocery food"
"CPIQ.SE901306PCCP","2023.09",-0.1,"FINAL","Percentage contribution quarterly","Class","Other grocery food"
"CPIQ.SE901306PPCA","2023.09",0.042,"FINAL","Percentage points contribution annual","Class","Other grocery food"
"CPIQ.SE901306PPCP","2023.09",-0.002,"FINAL","Percentage points contribution quarterly","Class","Other grocery food"
"CPIQ.SE9013IPCA","2023.09",8.11,"FINAL","Index point contribution annual","Subgroup","Grocery food"
"CPIQ.SE9013IPCP","2023.09",0.23,"FINAL","Index point contribution quarterly","Subgroup","Grocery food"
"CPIQ.SE9013PCCA","2023.09",12.1,"FINAL","Percentage contribution annual","Subgroup","Grocery food"
"CPIQ.SE9013PCCP","2023.09",1,"FINAL","Percentage contribution quarterly","Subgroup","Grocery food"
"CPIQ.SE9013PPCA","2023.09",0.687,"FINAL","Percentage points contribution annual","Subgroup","Grocery food"
"CPIQ.SE9013PPCP","2023.09",0.019,"FINAL","Percentage points contribution quarterly","Subgroup","Grocery food"
"CPIQ.SE9014","2023.09",1205,"FINAL","Main CPI","Subgroup","Non-alcoholic beverages"
"CPIQ.SE901401","2023.09",1153,"FINAL","Main CPI","Class","Coffee, tea and other hot drinks"
"CPIQ.SE901401IPCA","2023.09",0.44,"FINAL","Index point contribution annual","Class","Coffee, tea and other hot drinks"
"CPIQ.SE901401IPCP","2023.09",-0.09,"FINAL","Index point contribution quarterly","Class","Coffee, tea and other hot drinks"
"CPIQ.SE901401PCCA","2023.09",0.7,"FINAL","Percentage contribution annual","Class","Coffee, tea and other hot drinks"
"CPIQ.SE901401PCCP","2023.09",-0.4,"FINAL","Percentage contribution quarterly","Class","Coffee, tea and other hot drinks"
"CPIQ.SE901401PPCA","2023.09",0.038,"FINAL","Percentage points contribution annual","Class","Coffee, tea and other hot drinks"
"CPIQ.SE901401PPCP","2023.09",-0.007,"FINAL","Percentage points contribution quarterly","Class","Coffee, tea and other hot drinks"
"CPIQ.SE901402","2023.09",1219,"FINAL","Main CPI","Class","Soft drinks, waters and juices"
"CPIQ.SE901402IPCA","2023.09",1.41,"FINAL","Index point contribution annual","Class","Soft drinks, waters and juices"
"CPIQ.SE901402IPCP","2023.09",0.27,"FINAL","Index point contribution quarterly","Class","Soft drinks, waters and juices"
"CPIQ.SE901402PCCA","2023.09",2.1,"FINAL","Percentage contribution annual","Class","Soft drinks, waters and juices"
"CPIQ.SE901402PCCP","2023.09",1.2,"FINAL","Percentage contribution quarterly","Class","Soft drinks, waters and juices"
"CPIQ.SE901402PPCA","2023.09",0.119,"FINAL","Percentage points contribution annual","Class","Soft drinks, waters and juices"
"CPIQ.SE901402PPCP","2023.09",0.022,"FINAL","Percentage points contribution quarterly","Class","Soft drinks, waters and juices"
"CPIQ.SE9014IPCA","2023.09",1.85,"FINAL","Index point contribution annual","Subgroup","Non-alcoholic beverages"
"CPIQ.SE9014IPCP","2023.09",0.18,"FINAL","Index point contribution quarterly","Subgroup","Non-alcoholic beverages"
"CPIQ.SE9014PCCA","2023.09",2.7,"FINAL","Percentage contribution annual","Subgroup","Non-alcoholic beverages"
"CPIQ.SE9014PCCP","2023.09",0.8,"FINAL","Percentage contribution quarterly","Subgroup","Non-alcoholic beverages"
"CPIQ.SE9014PPCA","2023.09",0.157,"FINAL","Percentage points contribution annual","Subgroup","Non-alcoholic beverages"
"CPIQ.SE9014PPCP","2023.09",0.015,"FINAL","Percentage points contribution quarterly","Subgroup","Non-alcoholic beverages"
"CPIQ.SE9015","2023.09",1347,"FINAL","Main CPI","Subgroup","Restaurant meals and ready-to-eat food"
"CPIQ.SE901501","2023.09",1304,"FINAL","Main CPI","Class","Restaurant meals"
"CPIQ.SE901501IPCA","2023.09",1.54,"FINAL","Index point contribution annual","Class","Restaurant meals"
"CPIQ.SE901501IPCP","2023.09",0.42,"FINAL","Index point contribution quarterly","Class","Restaurant meals"
"CPIQ.SE901501PCCA","2023.09",2.3,"FINAL","Percentage contribution annual","Class","Restaurant meals"
"CPIQ.SE901501PCCP","2023.09",1.9,"FINAL","Percentage contribution quarterly","Class","Restaurant meals"
"CPIQ.SE901501PPCA","2023.09",0.131,"FINAL","Percentage points contribution annual","Class","Restaurant meals"
"CPIQ.SE901501PPCP","2023.09",0.035,"FINAL","Percentage points contribution quarterly","Class","Restaurant meals"
"CPIQ.SE901502","2023.09",1370,"FINAL","Main CPI","Class","Ready-to-eat food"
"CPIQ.SE901502IPCA","2023.09",3.65,"FINAL","Index point contribution annual","Class","Ready-to-eat food"
"CPIQ.SE901502IPCP","2023.09",0.59,"FINAL","Index point contribution quarterly","Class","Ready-to-eat food"
"CPIQ.SE901502PCCA","2023.09",5.4,"FINAL","Percentage contribution annual","Class","Ready-to-eat food"
"CPIQ.SE901502PCCP","2023.09",2.7,"FINAL","Percentage contribution quarterly","Class","Ready-to-eat food"
"CPIQ.SE901502PPCA","2023.09",0.309,"FINAL","Percentage points contribution annual","Class","Ready-to-eat food"
"CPIQ.SE901502PPCP","2023.09",0.049,"FINAL","Percentage points contribution quarterly","Class","Ready-to-eat food"
"CPIQ.SE9015IPCA","2023.09",5.19,"FINAL","Index point contribution annual","Subgroup","Restaurant meals and ready-to-eat food"
"CPIQ.SE9015IPCP","2023.09",1.01,"FINAL","Index point contribution quarterly","Subgroup","Restaurant meals and ready-to-eat food"
"CPIQ.SE9015PCCA","2023.09",7.7,"FINAL","Percentage contribution annual","Subgroup","Restaurant meals and ready-to-eat food"
"CPIQ.SE9015PCCP","2023.09",4.7,"FINAL","Percentage contribution quarterly","Subgroup","Restaurant meals and ready-to-eat food"
